Metadata for Doing Business indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Topic,Indicator,Long definition,Index,usb_index,pillar,sub_pillar,sub_sub_pillar,indicator,sub_indicator,unit_2,,,,,,,,,,,,,,,
Ease of doing business,Ease of Doing Business rank,The ease of doing business ranking ranges from 1 to 190. The ranking of economies is determined by sorting the aggregate ease of doing business scores.,Ease of Doing Business ,,,,,,,Rank,,,,,,,,,,,,,,,
Ease of doing business,Ease of doing business score (DB17-20 methodology),"The ease of doing business score is the simple average of the scores for each of the Doing Business topics: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. The score is computed based on the methodology in the DB17-20 studies for topics that underwent methodology updates.",Ease of Doing Business ,,Ease of doing business score (DB17-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Ease of doing business,Ease of doing business score (DB15 methodology),"The ease of doing business score is the simple average of the scores for each of the Doing Business topics: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. The score is computed based on the methodology in the DB15 studies for topics that underwent methodology updates.",Ease of Doing Business ,,Ease of doing business score (DB15 methodology),,,,,Score,,,,,,,,,,,,,,,
Ease of doing business,Ease of doing business score (DB10-14 methodology),"The ease of doing business score is the simple average of the scores for each of the Doing Business topics: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. The score is computed based on the methodology in the DB10-14 studies for topics that underwent methodology updates.",Ease of Doing Business ,,Ease of doing business score (DB10-14 methodology),,,,,Score,,,,,,,,,,,,,,,
Starting a business,Rank-Starting a business,The ranking of economies on the ease of starting a business is determined by sorting their scores for starting a business.,Ease of Doing Business ,,Starting a business,,,,,Rank,,,,,,,,,,,,,,,
Starting a business,Score-Starting a business,"The score for starting a business is the simple average of the scores for each of the component indicators: the procedures, time and cost for an entrepreneur to start and formally operate a business, as well as the paid-in minimum capital requirement. ",Ease of Doing Business ,,Starting a business,,,,,Score,,,,,,,,,,,,,,,
Starting a business,Procedures - Men (number),The number of procedures for men records all the procedures required in practice for five male married entrepreneurs to start and operate a local limited liability company. A procedure is deﬁned as any interaction of the company founders with external parties.  Both pre- and post-incorporation procedures that are officially required or commonly done in practice are recorded. ,Ease of Doing Business ,,Starting a business,,,Procedures - Men (number),,Score,,,,,,,,,,,,,,,
Starting a business,Score-Procedures - Men (number),"The score for the number of procedures for men benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Procedures - Men (number),,Score,,,,,,,,,,,,,,,
Starting a business,Time - Men (days),"The time for men captures the median duration that business incorporation experts indicate is necessary for five male married entrepreneurs to complete all procedures required to start and operate a business with minimum follow-up and no extra payments. It is calulared in calendar days. The time estimates of all procedures are added to calculate the total time required to start and operate a business, taking into account simultaneity of processes. It is assumed that the minimum time required for each procedure is one day, except for procedures that can be fully completed online, for which the time required is recorded as half a day.",Ease of Doing Business ,,Starting a business,,,Time - Men (days),,Score,,,,,,,,,,,,,,,
Starting a business,Score-Time - Men (days),"The score for the time for men benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Time - Men (days),,Score,,,,,,,,,,,,,,,
Starting a business,Cost - Men (% of income per capita),"The cost for men is the total cost required for five male married entrepreneurs to complete the procedures to incorporate and operate a business. It is calculated as a percentage of income per capita. All the fees and costs associated with completing the procedures to start a business are recorded, including all official fees and fees for legal and professional services, if such services are required by law or commonly used in practice. Only incorporation costs are counted, which excludes value added taxes and bribes.",Ease of Doing Business ,,Starting a business,,,Cost - Men (% of income per capita),,Score,,,,,,,,,,,,,,,
Starting a business,Score-Cost - Men (% of income per capita),"The score for the cost for men benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Cost - Men (% of income per capita),,Score,,,,,,,,,,,,,,,
Starting a business,Procedures - Women (number),The number of procedures for women records all the procedures required in practice for five female married entrepreneurs to start and operate a local limited liability company. A procedure is deﬁned as any interaction of the company founders with external parties or spouses (if legally required). Both pre- and post-incorporation procedures that are officially required or commonly done in practice are recorded. ,Ease of Doing Business ,,Starting a business,,,Procedures - Women (number),,Score,,,,,,,,,,,,,,,
